sgRNA	Gene	PO1f_1	PO1f_2	PO1f_3	PO1f_Cas9_1	PO1f_Cas9_2	PO1f_Cas9_3
40122	YALI1_D27251g	385	390	591	343	9	49
3088	YALI1_C25789g	157	252	453	3	0	2
42682	YALI1_F15141g	458	407	890	183	7	21
42380	YALI1_F07860g	942	474	438	602	48	221
349	YALI1_A05844g	593	890	921	1703	138	730
30962	YALI1_F19218g	183	301	346	66	4	61
153	YALI1_A00983g	111	133	357	347	37	170
12105	YALI1_A02335g	1535	1715	3081	1244	78	455
37313	YALI1_B15482g	335	855	1055	1353	117	552
27722	YALI1_D14260g	238	85	323	151	6	48
27787	YALI1_D15937g	201	213	455	27	0	0
17544	YALI1_E23265g	227	250	459	209	17	94
46373	YALI1_F09563g	359	351	735	31	2	6
9540	YALI1_B17695g	233	332	639	467	23	147
27076	YALI1_C31281g	323	416	81	221	18	127
46282	YALI1_F07181g	318	154	287	47	0	0
31436	YALI1_F31875g	59	60	101	28	6	21
690	YALI1_A14430g	155	252	457	24	0	44
26082	YALI1_C03335g	280	287	464	259	8	78
44263	YALI1_D33820g	283	198	397	37	0	8
41268	YALI1_E21312g	174	167	504	0	0	2
18170	YALI1_E38142g	678	900	1396	319	20	117
767	YALI1_A16292g	254	677	273	108	10	60
11630	YALI1_D10812g	247	116	132	260	19	64
10028	YALI1_C00141g	189	270	294	1092	67	315
16135	YALI1_D22413g	373	400	692	65	9	27
32114	YALI1_A08436g	340	213	564	25	9	29
27071	YALI1_C31151g	407	247	299	81	1	37
16885	YALI1_E06365g	1727	2030	2972	1509	66	431
30037	YALI1_E37392g	412	425	686	246	13	137
28482	YALI1_D34933g	202	47	0	79	6	15
44966	YALI1_E15889g	907	464	1066	1522	82	553
25279	YALI1_B11794g	273	375	912	326	43	222
47224	YALI1_F30852g	223	186	380	20	10	13
34508	YALI1_C18837g	170	318	685	38	2	6
8572	YALI1_A15172g	214	292	387	43	0	13
32007	YALI1_A05884g	138	212	240	174	7	75
45399	YALI1_E26076g	303	318	348	495	49	191
25923	YALI1_B29360g	106	340	372	85	4	20
19693	YALI1_F35554g	382	288	376	73	10	16
23461	YALI1_F31866g	440	686	1051	0	1	0
8636	YALI1_A16681g	338	430	538	203	10	102
35759	Nontargeting	80	263	340	979	62	222
17608	YALI1_E24633g	122	75	278	32	3	16
41912	YALI1_E36789g	225	251	644	0	1	4
19960	YALI1_D19971g	735	875	1906	279	16	112
44584	YALI1_E05731g	222	200	189	137	8	58
35733	Nontargeting	385	255	642	692	37	218
26062	YALI1_C02550g	269	225	466	24	6	31
41424	YALI1_E24894g	481	377	629	0	0	0
1985	YALI1_B25484g	329	433	718	220	20	61
25476	YALI1_B17285g	256	472	131	106	3	40
3582	YALI1_D05873g	311	266	387	657	22	60
14002	YALI1_B28766g	549	386	594	219	6	103
12602	YALI1_A14721g	233	219	435	1	1	0
44026	YALI1_D26730g	79	157	167	190	28	109
25062	YALI1_B05995g	139	331	188	66	3	23
6641	YALI1_F06896g	159	206	327	15	5	14
8884	YALI1_B00133g	51	248	332	397	40	159
13274	YALI1_B08885g	72	132	196	0	1	0
33220	YALI1_B14355g	656	744	1307	2604	149	1098
46565	YALI1_F14160g	59	295	526	125	10	65
13784	YALI1_B22598g	118	167	292	195	35	135
33720	YALI1_B27645g	233	302	320	28	5	61
33552	YALI1_B22905g	11	42	0	21	1	15
20236	YALI1_D27044g	42	135	164	0	6	15
45017	YALI1_E17065g	324	913	268	528	31	167
15448	YALI1_D04936g	76	166	195	83	7	39
21851	YALI1_E32315g	396	227	728	233	19	147
6667	YALI1_F07655g	717	659	716	587	61	214
24122	YALI1_A05143g	680	808	815	87	10	27
29430	YALI1_E22859g	195	249	342	104	7	35
16664	YALI1_E01057g	11	56	99	35	2	9
18492	YALI1_F05312g	228	329	189	211	17	69
43848	YALI1_D22044g	118	102	129	17	12	23
10641	YALI1_C17419g	121	306	800	124	34	71
12444	YALI1_A10672g	713	280	1605	379	47	217
39268	YALI1_D05370g	332	312	387	0	0	19
33584	YALI1_B23771g	426	480	770	1427	126	573
78	Nontargeting	63	35	173	343	37	67
27405	YALI1_D06489g	220	91	26	45	3	41
30763	YALI1_F14746g	124	40	29	206	14	83
43144	YALI1_F26780g	107	132	500	17	1	0
10754	YALI1_C20032g	57	344	191	110	50	62
19954	YALI1_D19562g	136	463	424	16	5	12
42977	YALI1_F22578g	484	852	691	108	7	45
29640	YALI1_E27756g	97	108	249	18	13	0
24339	YALI1_A10468g	96	178	307	89	6	12
44753	YALI1_E10358g	867	1260	2171	6381	274	1142
46546	YALI1_F13526g	196	240	643	624	43	154
8708	YALI1_A18443g	87	2	55	79	1	8
10579	YALI1_C15803g	239	458	338	306	12	72
39873	YALI1_D20904g	310	616	810	364	26	177
14796	YALI1_C19943g	163	468	417	413	32	241
6439	YALI1_F01078g	312	614	1012	302	33	187
18141	YALI1_E37494g	236	231	243	508	38	227
37464	YALI1_B19507g	53	116	150	6	0	5
25667	YALI1_B22109g	189	99	109	19	0	1
30678	YALI1_F12757g	188	88	328	87	5	54
7189	YALI1_F20123g	411	428	685	2	1	3
11568	YALI1_D09277g	142	141	187	0	0	0
42923	YALI1_F21002g	254	581	325	315	20	159
22695	YALI1_F12535g	48	57	428	9	3	22
43521	YALI1_F36132g	129	227	527	28	0	8
42815	YALI1_F17907g	219	368	270	103	10	25
34885	YALI1_C30181g	256	245	224	2	0	0
15400	YALI1_D03488g	415	141	476	26	0	14
3094	YALI1_C25998g	162	330	518	65	5	42
35851	YALI1_A00829g	521	645	1031	153	27	130
43580	YALI1_F37694g	363	360	242	326	37	175
14034	YALI1_B29637g	225	470	539	200	20	89
9987	YALI1_B29637g	181	540	664	203	36	105
1242	YALI1_B05609g	316	255	399	123	10	65
44577	YALI1_E05630g	70	152	197	108	9	23
24944	YALI1_B02874g	361	123	501	0	1	0
34591	YALI1_C21234g	106	290	324	330	15	97
38229	YALI1_C10086g	366	311	578	86	10	30
42984	YALI1_F22841g	115	252	256	488	42	122
16169	YALI1_D23479g	110	64	65	62	5	4
9284	YALI1_B10449g	553	550	384	273	35	183
7618	YALI1_F31531g	443	658	1054	0	0	0
36330	YALI1_A13019g	296	462	273	108	2	17
31884	YALI1_A02977g	84	127	685	137	3	44
9281	YALI1_B10359g	159	100	402	86	10	97
6819	YALI1_F11337g	117	154	144	107	15	52
5673	YALI1_E23912g	380	770	746	17	11	13
47230	YALI1_F31102g	282	246	740	145	19	56
43740	YALI1_D19039g	206	70	238	423	36	87
26447	YALI1_C13768g	290	472	1043	19	8	15
22483	YALI1_F07344g	314	214	463	0	0	0
8073	YALI1_A02728g	205	227	470	194	8	92
22254	YALI1_F00534g	869	1212	2086	523	53	159
6763	YALI1_F10110g	76	197	99	45	9	79
11443	YALI1_D06061g	281	252	148	239	11	127
11792	YALI1_D14585g	388	493	660	166	23	71
23487	YALI1_F32460g	33	43	8	0	0	6
40107	YALI1_D26956g	280	266	314	47	12	43
25074	YALI1_B06324g	280	327	396	172	8	36
6938	YALI1_F14201g	139	197	99	95	9	19
8002	YALI1_A00829g	159	483	549	588	37	156
4145	YALI1_D20359g	296	482	595	359	46	196
38131	YALI1_C07199g	204	383	240	53	6	31
1410	YALI1_B09894g	147	58	118	1	0	3
39282	YALI1_D05764g	737	804	692	302	26	178
13683	YALI1_B20130g	43	33	98	0	0	14
40919	YALI1_E12962g	498	615	749	18	11	23
1486	YALI1_B12042g	352	276	638	1	0	0
33643	YALI1_B25506g	362	407	921	259	9	69
40471	YALI1_E01163g	281	187	129	394	28	160
10971	YALI1_C26597g	164	207	472	50	8	50
23180	YALI1_F24486g	49	307	159	29	0	27
27066	YALI1_C31047g	207	325	974	222	38	64
35634	YALI1_D15744g	413	364	894	0	1	18
36643	YALI1_A20631g	145	462	229	3	0	0
33147	YALI1_B12195g	196	110	126	44	7	30
41009	YALI1_E15144g	253	7	67	45	3	27
22874	YALI1_F16426g	413	187	1301	2248	128	530
31082	YALI1_F22836g	223	222	621	44	3	38
32274	YALI1_A12729g	222	143	691	49	5	56
25261	YALI1_B11415g	226	271	935	88	6	66
4111	YALI1_D19058g	593	299	761	130	11	64
47216	YALI1_F30559g	205	183	312	281	7	25
11352	YALI1_D03437g	111	309	169	967	67	230
23605	YALI1_F35061g	309	311	377	72	12	65
25795	YALI1_B25744g	558	894	1369	1813	145	805
19998	YALI1_D20904g	313	569	847	257	12	63
25984	YALI1_C00331g	210	201	439	270	47	204
41468	YALI1_E25964g	457	725	895	635	37	181
6221	YALI1_E37040g	64	94	125	96	11	38
26589	YALI1_C17419g	387	270	248	154	3	2
39338	YALI1_D07310g	289	221	346	158	17	114
31498	YALI1_F33301g	251	246	567	75	5	127
37370	YALI1_B17050g	450	523	938	150	29	70
45489	YALI1_E28097g	307	498	216	164	9	54
26037	YALI1_C01843g	140	418	503	152	13	29
19421	YALI1_F28897g	213	210	569	130	12	53
158	YALI1_A01143g	412	288	483	129	9	92
10772	YALI1_C20429g	571	322	626	545	45	144
42618	YALI1_F13505g	359	442	386	22	2	13
22852	YALI1_F16045g	90	104	136	0	1	26
19392	YALI1_F28092g	273	265	354	2	0	0
42071	YALI1_E40671g	99	215	780	53	8	47
2268	YALI1_C02873g	382	535	684	89	10	37
7515	YALI1_F28744g	104	58	354	20	1	2
12199	YALI1_A04661g	254	458	1133	1399	94	577
44398	YALI1_E01163g	85	186	183	2	3	0
12604	YALI1_A14772g	933	812	1060	374	29	201
39646	YALI1_D14695g	199	124	448	75	2	26
22161	YALI1_E39693g	97	81	132	0	0	0
21134	YALI1_E15144g	357	254	300	115	3	17
5140	YALI1_E11048g	32	345	298	6	0	2
379	YALI1_A06453g	398	453	652	116	21	44
5774	YALI1_E26223g	183	262	323	94	5	36
38333	YALI1_C13410g	81	162	43	47	6	35
5543	YALI1_E20794g	214	123	254	130	16	45
15295	YALI1_D00754g	80	94	106	5	4	28
31761	YALI1_F39457g	205	331	669	539	27	153
41239	YALI1_E20677g	270	363	197	382	51	172
280	YALI1_A04071g	425	795	948	1968	124	767
7836	YALI1_F36706g	561	518	1071	68	1	25
42494	YALI1_F10774g	295	432	1193	0	0	0
17013	YALI1_E10134g	135	75	237	29	3	11
12766	YALI1_A18660g	423	377	451	140	5	47
31373	YALI1_F30179g	148	92	155	44	5	38
17503	YALI1_E22207g	485	564	1219	583	21	96
42370	YALI1_F07655g	432	615	564	31	5	41
17648	YALI1_E25587g	32	100	38	117	3	30
36363	YALI1_A13785g	136	184	215	159	16	54
37838	YALI1_B29711g	90	78	206	9	5	7
45652	YALI1_E32269g	463	401	640	52	3	7
14907	YALI1_C23707g	425	736	713	1	1	1
21407	YALI1_E21570g	137	44	184	440	14	34
3038	YALI1_C24533g	601	269	663	148	17	103
42060	YALI1_E40394g	186	185	445	34	12	3
3215	YALI1_C29905g	354	439	941	352	18	66
18335	YALI1_F00960g	611	417	1267	1591	99	556
19835	YALI1_F38986g	204	174	268	46	8	19
30752	YALI1_F14443g	414	769	935	1395	78	370
2365	YALI1_C05636g	193	188	232	137	3	67
31263	YALI1_F27356g	120	169	154	27	7	12
29391	YALI1_E21871g	176	393	610	133	24	13
8710	YALI1_A18463g	72	195	380	13	1	6
39739	YALI1_D17108g	422	533	769	0	0	2
43742	YALI1_D19087g	307	378	519	646	55	205
44916	YALI1_E14619g	141	256	355	69	8	25
35439	YALI1_D10961g	122	149	248	78	9	25
10456	YALI1_C12682g	238	299	539	139	6	30
1125	YALI1_B02487g	779	505	681	0	0	6
28997	YALI1_E12482g	306	648	1005	332	22	145
8973	YALI1_B02345g	403	524	643	907	97	570
38291	YALI1_C12140g	134	125	0	266	38	111
31758	YALI1_F39330g	105	160	30	0	0	0
22454	YALI1_F06353g	356	345	1115	191	22	110
39121	YALI1_D01350g	377	445	1038	788	66	328
10009	YALI1_B30090g	150	165	172	0	0	0
18656	YALI1_F09833g	1374	1638	2612	791	73	303
7203	YALI1_F20547g	253	174	82	38	4	13
42021	YALI1_E39335g	410	651	914	101	4	58
28501	YALI1_D35435g	549	640	578	350	19	221
6554	YALI1_F04211g	226	240	685	304	21	144
13059	YALI1_B03314g	405	424	895	7	4	11
47562	YALI1_F38918g	20	0	146	11	0	7
29696	YALI1_E28919g	351	393	421	88	4	49
34670	YALI1_C23902g	192	181	513	226	18	102
22394	YALI1_F04594g	189	58	184	9	0	0
16208	YALI1_D24505g	507	568	1787	577	26	232
33192	YALI1_B13614g	80	76	82	114	15	29
45888	YALI1_E37950g	139	406	592	221	7	89
32434	YALI1_A16509g	291	175	442	48	7	19
1010	YALI1_A22157g	670	951	1372	1	2	0
41087	YALI1_E16982g	280	161	393	0	0	0
22157	YALI1_E39579g	358	254	240	173	18	32
16471	YALI1_D32070g	136	260	568	0	0	0
11796	YALI1_D14670g	201	249	507	74	15	31
43082	YALI1_F25110g	180	735	704	292	27	61
40097	YALI1_D26671g	373	573	1095	245	58	66
31671	YALI1_F37508g	226	505	671	1	2	9
46009	YALI1_E40970g	188	375	248	192	8	74
9961	YALI1_B28990g	131	220	510	36	10	19
8451	YALI1_A12152g	197	585	716	22	4	7
39660	YALI1_D15214g	195	530	517	31	1	5
16961	YALI1_E08512g	129	116	184	71	2	6
34467	YALI1_C17947g	75	242	219	89	21	60
36238	YALI1_A10365g	310	198	367	28	7	9
43198	YALI1_F28132g	528	628	778	176	10	66
37304	YALI1_B15301g	106	180	284	270	7	78
24605	YALI1_A17118g	893	839	1086	1074	72	349
25990	YALI1_C00464g	320	575	731	8	4	4
17460	YALI1_E21200g	81	36	66	52	6	43
19661	YALI1_F34692g	663	384	906	51	6	86
24196	YALI1_A06743g	140	66	95	0	0	0
18711	YALI1_F11199g	182	117	274	87	7	38
30827	YALI1_F16058g	371	501	809	319	16	180
13329	YALI1_B10424g	205	220	350	155	12	65
2195	YALI1_C00766g	639	595	762	196	33	44
36434	YALI1_A15482g	468	321	586	102	6	31
7721	YALI1_F33791g	61	270	523	51	2	5
11420	YALI1_D05375g	187	437	535	184	9	34
41467	YALI1_E25955g	146	124	192	28	1	24
10734	YALI1_C19636g	436	482	525	89	5	15
8309	YALI1_A08299g	711	614	616	67	10	53
30974	YALI1_F19619g	689	687	841	258	12	34
23208	YALI1_F25164g	172	161	339	30	3	17
2093	YALI1_B28472g	174	342	666	381	24	168
46236	YALI1_F05871g	153	297	625	999	70	268
18000	YALI1_E34222g	35	42	81	3	1	0
8534	YALI1_A14259g	195	301	396	364	42	211
29989	YALI1_E36206g	421	1011	1091	94	2	42
7345	YALI1_F24343g	220	205	273	164	2	47
22207	YALI1_E40970g	850	680	1187	1203	84	494
21792	YALI1_E30914g	228	208	570	126	3	24
42361	YALI1_F07384g	326	339	787	1585	101	547
24549	YALI1_A15813g	311	602	875	788	67	304
32209	YALI1_A10966g	115	321	296	463	19	125
6252	YALI1_E37830g	199	293	409	2	0	0
17165	YALI1_E14132g	1388	1439	2494	1165	83	525
30410	YALI1_F05887g	235	149	227	38	9	19
5059	YALI1_E08472g	495	805	1167	1304	91	413
13906	YALI1_B26112g	476	486	319	354	33	190
11141	YALI1_C31759g	203	273	368	64	4	9
43483	YALI1_F35191g	164	168	249	90	8	38
32579	YALI1_A20229g	248	333	534	101	10	45
6039	YALI1_E32664g	215	521	525	157	9	83
34713	YALI1_C25069g	385	423	540	160	14	32
26732	YALI1_C20901g	248	141	615	280	19	138
760	YALI1_A16121g	259	471	629	200	19	95
40974	YALI1_E14316g	159	94	92	7	2	8
27024	YALI1_C30022g	441	373	785	171	16	139
16224	YALI1_D24941g	624	614	825	20	3	7
36341	YALI1_A13287g	361	596	418	74	3	7
42756	YALI1_F16568g	1056	1906	1157	4353	290	1226
41487	YALI1_E26513g	254	263	529	91	1	34
12160	YALI1_A03599g	306	118	568	63	12	23
28421	YALI1_D33380g	288	116	549	14	6	13
27831	YALI1_D16981g	59	138	142	0	0	1
30165	YALI1_E40540g	358	244	174	249	20	89
35708	Nontargeting	535	450	979	2294	119	564
35488	YALI1_D12056g	423	346	978	63	17	32
39535	YALI1_D12056g	133	180	200	184	10	44
25147	YALI1_B08193g	30	180	232	176	11	46
13354	YALI1_B11167g	60	35	51	4	0	0
929	YALI1_A20353g	184	309	598	43	2	23
9041	YALI1_B04309g	350	531	837	65	13	41
20107	YALI1_D23721g	618	698	1340	307	24	150
44466	YALI1_E02799g	235	422	587	159	2	21
26186	YALI1_C06071g	592	548	781	444	38	171
38107	YALI1_C06597g	1226	600	1024	24	0	1
27072	YALI1_C31163g	406	230	527	14	6	7
30928	YALI1_F18239g	355	371	895	333	38	166
28769	YALI1_E06015g	66	195	358	2	0	1
32108	YALI1_A08175g	272	259	843	0	3	10
1440	YALI1_B10773g	114	127	309	117	28	101
40363	YALI1_D34446g	197	299	323	193	3	26
12246	YALI1_A05798g	172	301	387	59	5	41
36144	YALI1_A07829g	171	198	264	450	24	175
21814	YALI1_E31461g	714	1398	1736	0	1	1
39079	YALI1_D00352g	91	146	266	109	18	80
28284	YALI1_D29215g	264	447	633	1	1	0
38014	YALI1_C04067g	301	392	562	96	17	44
39740	YALI1_D17151g	199	182	487	25	7	20
4434	YALI1_D27780g	272	463	199	31	6	3
37423	YALI1_B18572g	234	297	218	254	9	59
40480	YALI1_E01422g	552	391	1057	519	21	163
7226	YALI1_F21224g	386	578	594	216	8	106
15222	YALI1_C32667g	508	322	950	332	23	89
36869	YALI1_B03644g	191	179	110	108	3	22
9185	YALI1_B07843g	187	100	257	0	0	2
44334	YALI1_D35593g	363	473	370	174	6	51
9055	YALI1_B04589g	28	123	163	108	6	46
40764	YALI1_E08530g	245	240	266	133	2	27
39244	YALI1_D04725g	218	292	547	1082	95	412
7296	YALI1_F23133g	290	378	451	68	6	48
18527	YALI1_F06353g	549	156	527	527	42	136
31522	YALI1_F33790g	164	132	468	59	15	72
32046	YALI1_A06666g	329	457	719	267	17	102
19498	YALI1_F31001g	294	319	125	183	2	41
35346	YALI1_D08734g	268	443	716	235	24	140
41616	YALI1_E29330g	222	244	444	160	8	61
41908	YALI1_E36682g	109	296	250	26	0	27
46788	YALI1_F19192g	313	237	379	101	11	47
42872	YALI1_F19556g	235	247	474	357	45	109
18189	YALI1_E38593g	88	228	101	78	4	57
17443	YALI1_E20791g	381	430	981	50	4	39
2633	YALI1_C13506g	346	340	553	83	13	68
19432	YALI1_F29168g	73	154	280	188	18	140
5564	YALI1_E21282g	233	341	356	249	17	111
11206	YALI1_C33332g	437	169	598	267	12	63
27908	YALI1_D18943g	261	240	594	154	7	27
6756	YALI1_F09846g	809	874	545	824	85	326
20792	YALI1_E05972g	969	1177	3127	568	12	126
15488	YALI1_D06026g	305	493	560	83	6	123
37598	YALI1_B22883g	130	118	263	37	4	11
34909	YALI1_C30726g	415	757	867	1086	85	473
7621	YALI1_F31639g	215	231	166	103	16	84
2244	YALI1_C02117g	238	114	210	104	4	24
27369	YALI1_D05398g	123	97	0	78	11	30
44409	YALI1_E01463g	96	183	63	128	6	10
21635	YALI1_E27113g	409	306	966	748	68	250
31009	YALI1_F20631g	97	365	184	70	5	32
43977	YALI1_D25450g	95	281	100	5	0	1
33152	YALI1_B12313g	422	384	812	306	4	75
31752	YALI1_F39236g	183	214	623	922	110	495
34194	YALI1_C10463g	106	103	133	4	6	7
35766	Nontargeting	395	521	247	1453	106	439
31262	YALI1_F27343g	399	461	892	54	5	37
14323	YALI1_C07081g	558	612	1614	519	12	132
36990	YALI1_B06640g	200	181	454	162	8	68
36640	YALI1_A20558g	182	257	257	163	18	36
34872	YALI1_C29910g	251	353	460	415	34	150
30216	YALI1_F00229g	385	647	955	168	16	91
22042	YALI1_E36887g	344	273	395	205	16	158
3338	YALI1_C33055g	176	69	104	113	6	46
44083	YALI1_D28259g	167	390	168	133	7	60
3843	YALI1_D12342g	142	188	98	177	8	53
10603	YALI1_C16395g	128	39	262	447	56	198
25958	YALI1_B30123g	250	421	206	0	0	1
8220	YALI1_A06196g	629	467	984	498	50	296
5187	YALI1_E12206g	90	106	266	347	26	148
38226	YALI1_C09977g	463	629	677	1017	12	119
39287	YALI1_D05901g	107	184	301	190	11	36
12950	YALI1_B00704g	70	27	82	92	13	57
39481	YALI1_D10858g	245	502	612	7	3	8
36441	YALI1_A15584g	729	717	900	80	5	48
34699	YALI1_C24660g	390	426	604	3	3	0
39911	YALI1_D21830g	118	286	454	126	9	68
26123	YALI1_C04328g	30	8	20	1	1	0
24934	YALI1_B02642g	521	369	880	663	61	364
14966	YALI1_C25288g	29	91	0	0	0	7
22647	YALI1_F11337g	68	311	297	113	3	49
39205	YALI1_D03604g	354	32	0	17	1	12
33569	YALI1_B23440g	647	786	1584	92	9	43
46809	YALI1_F19805g	301	311	570	57	2	32
23520	YALI1_F33143g	240	383	402	2	4	19
7414	YALI1_F25984g	296	217	426	36	3	44
9887	YALI1_B26963g	330	575	1161	2499	134	954
38811	YALI1_C26318g	390	434	402	153	7	23
34634	YALI1_C22922g	360	243	764	651	37	256
8483	YALI1_A13046g	254	655	868	268	29	147
19118	YALI1_F20931g	155	369	534	562	17	118
13711	YALI1_B20777g	419	443	679	2	0	0
15715	YALI1_D11633g	318	844	1414	394	45	165
30970	YALI1_F19500g	232	710	890	85	13	28
35247	YALI1_D06131g	51	65	65	77	6	50
27716	YALI1_D14125g	220	353	505	2	6	2
10565	YALI1_C15489g	269	490	532	471	32	120
13403	YALI1_B12443g	247	346	632	70	11	60
34118	YALI1_C08065g	93	33	128	0	0	0
43847	YALI1_D22043g	298	300	625	43	13	55
26897	YALI1_C26017g	1005	1468	1776	34	0	1
28239	YALI1_D27844g	177	206	536	60	3	12
18510	YALI1_F05893g	90	19	66	0	0	3
38025	YALI1_C04351g	323	183	420	385	16	117
33265	YALI1_B15475g	207	377	534	11	13	29
14166	YALI1_C02686g	76	91	80	257	13	72
16641	YALI1_E00510g	184	199	347	17	1	2
46112	YALI1_F02403g	90	268	172	36	5	14
28585	YALI1_E01614g	70	378	246	593	60	136
34743	YALI1_C25782g	100	324	501	270	3	20
6007	YALI1_E31897g	73	166	132	6	1	0
1463	YALI1_B11519g	71	53	66	34	4	25
12901	YALI1_A21993g	285	235	161	126	6	109
10981	YALI1_C26873g	280	416	380	146	17	103
40424	YALI1_D36035g	110	153	494	218	27	60
37658	YALI1_B24564g	269	173	122	56	4	17
35852	YALI1_A00867g	104	54	176	63	0	7
43428	YALI1_F33881g	462	329	760	169	34	33
27795	YALI1_D16047g	268	318	727	96	24	59
6820	YALI1_F11363g	547	740	1032	584	34	161
27036	YALI1_C30287g	61	74	269	0	0	0
38752	YALI1_C24850g	512	803	1327	405	15	129
42514	YALI1_F11224g	373	609	615	187	23	67
24777	YALI1_A21477g	143	266	647	27	0	5
1715	YALI1_B18451g	97	238	271	26	2	54
8307	YALI1_A08197g	119	214	261	33	4	17
29130	YALI1_E15659g	209	246	772	7	2	7
33907	YALI1_C02332g	69	53	92	2	1	0
32507	YALI1_A18414g	88	146	152	59	8	24
25105	YALI1_B07094g	343	371	991	93	1	18
9779	YALI1_B23708g	332	673	623	71	2	6
46656	YALI1_F16069g	140	393	290	221	10	137
35897	YALI1_A02075g	403	380	759	364	21	133
47084	YALI1_F27132g	445	1145	597	2352	170	1084
1536	YALI1_B13614g	158	325	555	80	9	21
7849	YALI1_F36996g	244	306	424	283	17	125
42382	YALI1_F07884g	139	522	490	596	36	174
14030	YALI1_B29528g	1040	1146	2398	971	71	351
40000	YALI1_D24249g	223	279	437	339	26	133
12396	YALI1_A09325g	26	20	120	25	4	12
3897	YALI1_D13611g	309	235	309	1020	40	256
23284	YALI1_F27175g	184	513	733	0	0	0
35375	YALI1_D09326g	330	475	782	138	12	41
17024	YALI1_E10358g	146	207	250	138	3	82
10632	YALI1_C17216g	686	909	1481	6647	267	1446
8163	YALI1_A04884g	71	231	467	2	2	29
116	Nontargeting	556	387	813	1929	154	692
11782	YALI1_D14423g	87	258	134	73	5	34
28816	YALI1_E07302g	197	275	250	286	9	105
20269	YALI1_D27934g	709	558	988	446	52	206
3201	YALI1_C29538g	244	531	688	81	10	46
1576	YALI1_B14658g	182	272	438	112	7	13
20590	YALI1_E01033g	523	766	918	523	31	189
35639	YALI1_D15897g	574	713	1007	124	8	71
22259	YALI1_F00866g	372	374	871	378	21	124
36631	YALI1_A20320g	87	227	369	13	0	1
43735	YALI1_D18890g	130	222	189	49	1	28
11478	YALI1_D07124g	171	169	314	19	1	8
31997	YALI1_A05701g	365	305	434	49	6	15
4510	YALI1_D30097g	405	317	297	13	0	7
28542	YALI1_E00510g	355	247	461	2	1	2
8398	YALI1_A10708g	137	282	216	0	5	1
32876	YALI1_B05005g	111	293	558	832	63	404
30900	YALI1_F17549g	139	306	627	747	55	323
35246	YALI1_D06094g	206	315	334	222	23	58
10605	YALI1_C16431g	258	300	425	63	5	30
25978	YALI1_C00167g	99	130	245	107	35	106
39531	YALI1_D11971g	252	222	144	62	2	23
40278	YALI1_D32209g	106	96	64	0	0	0
20483	YALI1_D34258g	605	1436	2315	3542	306	1219
18541	YALI1_F06858g	74	167	340	12	0	44
5215	YALI1_E12952g	170	405	497	647	51	289
12203	YALI1_A04781g	252	176	252	0	9	18
5965	YALI1_E30942g	243	327	604	306	24	106
1548	YALI1_B13948g	438	492	788	184	24	62
34270	YALI1_C13007g	456	279	327	684	40	210
34242	YALI1_C12038g	476	142	407	87	19	60
31951	YALI1_A04576g	170	383	802	153	10	51
7325	YALI1_F23867g	372	421	613	178	21	71
19623	YALI1_F33812g	532	523	726	256	35	133
34472	YALI1_C18073g	108	156	551	143	23	161
13186	YALI1_B06628g	423	576	1350	389	23	82
29093	YALI1_E14749g	276	364	371	98	9	33
31619	YALI1_F36127g	537	344	799	493	16	158
41966	YALI1_E38050g	906	1142	1540	590	34	146
1648	YALI1_B16477g	110	142	103	354	23	122
35821	Nontargeting	737	223	231	1115	114	398
13982	YALI1_B28098g	155	336	554	577	71	332
3850	YALI1_D12513g	87	208	604	53	15	30
27246	YALI1_D02014g	311	455	624	811	78	425
34615	YALI1_C21924g	416	663	1039	110	11	31
33908	YALI1_C02374g	495	615	1519	1185	64	333
25742	YALI1_B24051g	523	330	499	710	47	275
33551	YALI1_B22883g	75	177	573	0	0	6
36091	YALI1_A06634g	137	59	450	247	9	77
11954	Nontargeting	112	31	0	43	5	28
40527	YALI1_E02454g	250	293	471	2	3	25
29510	YALI1_E24676g	90	278	316	117	15	33
33687	YALI1_B26926g	459	293	347	0	0	0
590	YALI1_A11905g	334	335	545	57	4	47
32861	YALI1_B04703g	184	179	109	299	23	100
45979	YALI1_E40161g	469	355	384	396	20	181
12727	YALI1_A17640g	255	284	357	417	47	170
34381	YALI1_C15803g	171	40	60	12	0	0
39741	YALI1_D17181g	206	375	791	3	1	1
1386	YALI1_B09181g	393	133	100	88	0	17
29588	YALI1_E26532g	399	460	498	195	32	94
17668	YALI1_E25999g	266	255	267	570	42	178
483	YALI1_A08981g	333	176	907	1366	50	379
43819	YALI1_D21373g	553	1070	1135	115	9	38
2547	YALI1_C10762g	274	378	602	122	8	58
8551	YALI1_A14658g	468	499	373	30	1	19
37940	YALI1_C01876g	183	328	692	19	2	16
21438	YALI1_E22364g	141	69	337	269	24	84
26448	YALI1_C13817g	154	200	633	16	5	15
10422	YALI1_C11589g	316	832	1338	0	1	0
37146	YALI1_B10813g	293	292	181	28	2	2
37404	YALI1_B18134g	349	380	433	325	39	196
47010	YALI1_F25164g	365	565	692	162	7	89
7797	YALI1_F35647g	161	161	270	82	6	60
28886	YALI1_E09329g	515	540	683	167	16	121
33178	YALI1_B13137g	662	425	499	5	2	3
43542	YALI1_F36742g	507	687	1124	845	82	366
7051	YALI1_F16527g	1199	885	1161	90	10	37
35865	YALI1_A01240g	375	425	630	170	8	17
